,image,query_id,query_text,first,second,third,avg_expert,share_pos,count_pos,count_neg,total_rating,text_from_text
0,1056338697_4f7d7ce270.jpg,2549968784_39bfbe44f9.jpg#2,A young child is wearing blue goggles and sitting in a float in a pool .,1,1,1,0.0,0.0,0,3,0.0,blond woman in blue dress taking a picture of a car
1,1056338697_4f7d7ce270.jpg,434792818_56375e203f.jpg#2,A man and woman look back at the camera while standing in front of a red art structure .,1,1,2,0.11111111111111109,0.0,0,3,0.08888888888888888,blond woman in blue dress taking a picture of a car
2,1056338697_4f7d7ce270.jpg,2718495608_d8533e3ac5.jpg#2,A girl wearing a yellow shirt and sunglasses smiles .,1,1,2,0.11111111111111109,0.0,0,3,0.08888888888888888,blond woman in blue dress taking a picture of a car
3,1082379191_ec1e53f996.jpg,1536774449_e16b1b6382.jpg#2,A crowd of people at an outdoor event,1,2,3,0.3333333333333333,0.0,0,3,0.26666666666666666,there are two people sitting on a bench by the water
4,1084040636_97d9633581.jpg,256085101_2c2617c5d0.jpg#2,Close-up of dog in profile with mouth open .,2,3,3,0.5555555555555555,0.333333333333333,1,2,0.5111111111111111,there is a white dog laying on the floor with its head on the ground
5,1084040636_97d9633581.jpg,3396157719_6807d52a81.jpg#2,A dog gets on a trampoline .,1,2,2,0.22222222222222224,0.0,0,3,0.1777777777777778,there is a white dog laying on the floor with its head on the ground
6,1096395242_fc69f0ae5a.jpg,1425069308_488e5fcf9d.jpg#2,A white dog jumps to catch a blue ball in a living room .,2,2,2,0.3333333333333333,0.0,0,3,0.26666666666666666,there is a young boy sitting on the floor holding a lollipop
7,1096395242_fc69f0ae5a.jpg,2370481277_a3085614c9.jpg#2,A young boy kicks a soccer ball while six others play but are dressed as referee .,1,2,2,0.22222222222222224,0.0,0,3,0.1777777777777778,there is a young boy sitting on the floor holding a lollipop
8,1107246521_d16a476380.jpg,2410320522_d967f0b75c.jpg#2,Large dog plays with two smaller dogs on grass .,2,3,3,0.5555555555555555,0.0,0,3,0.4444444444444444,there is a dog that is jumping in the air to catch a frisbee
9,1107246521_d16a476380.jpg,293327462_20dee0de56.jpg#2,Two beige dogs are playing in the grass near a doghouse .,2,2,3,0.4444444444444445,0.333333333333333,1,2,0.4222222222222222,there is a dog that is jumping in the air to catch a frisbee
